domain,tier,category,country,languages,owner,rating_sources,notes
aawsat.com,2,broadsheet,SA/GB,ar;en,srmg,MBFC Right-Center / MIXED / Medium Credibility (mediabiasfactcheck.com/asharq-al-awsat-2/); Lin2023 pc1=0.754 (english) / 0.561 (main),Saudi-owned pan-Arab daily; tier 2 with Saudi-topic caveat
abc.es,2,broadsheet,ES,es,abc.es,MBFC Right-Center / HIGH / High Credibility (mediabiasfactcheck.com/abc-spain/); Lin2023 pc1=0.842,Conservative broadsheet
abcnews.go.com,2,broadcaster,US,en,wikimedia,WikipediaRSP:generally-reliable,
al-monitor.com,2,broadsheet,US,en;ar,al-monitor.com,MBFC Left-Center / HIGH / High Credibility (mediabiasfactcheck.com/al-monitor/); Lin2023 pc1=0.817,Middle East specialist
aljazeera.com,2,broadcaster,QA,en,al-jazeera-media-network,"RSP Generally reliable (Al Jazeera); MBFC Left-Center / MIXED / Medium Credibility; Ad Fontes Reliability 41.30 ('Reliable, Analysis/Fact Reporting'); Lin2023 pc1=0.779",Qatar state-funded; editorial independence contested (RSP GR but 'use caution on Qatar/Gulf topics')
aljazeera.net,2,broadcaster,QA,ar,al-jazeera-media-network,Same organisation as aljazeera.com (RSP Generally reliable); MBFC rates Al Jazeera Medium/Mixed,Arabic edition; tier 2 with topic caveats
animalpolitico.com,2,broadsheet,MX,es,grupo-animal,MBFC Left-Center / HIGH / High Credibility (mediabiasfactcheck.com/animal-politico/); El Sabueso (grupoanimal.mx) is IFCN Verified Signatory (approved 2024-08-23),Digital-native investigative outlet with in-house IFCN fact-checker
cbsnews.com,2,broadcaster,US,en,wikimedia,WikipediaRSP:generally-reliable,
clarin.com,2,broadsheet,AR,es,grupo-clarin,MBFC Right-Center / HIGH / High Credibility (mediabiasfactcheck.com/clarin/),Grupo Clarín; largest Argentine daily
cnn.com,2,broadcaster,US,en;es,wikimedia,WikipediaRSP:generally-reliable,
cnnespanol.cnn.com,2,broadcaster,US,es,cnn.com,CNN: RSP Generally reliable; MBFC Left-Center/Mostly Factual (CNN),Spanish edition of CNN; inherits parent rating
economist.com,2,broadsheet,GB,en,economist.com,RSP Generally reliable; MBFC High,
elcomercio.pe,2,broadsheet,PE,es,elcomercio.pe,No MBFC page found via slug probe,Tier 3 pending review
eldiario.es,2,broadsheet,ES,es,eldiario.es,MBFC Left-Center / HIGH / High Credibility (mediabiasfactcheck.com/eldiario-es/); Lin2023 pc1=0.601,Digital-native
eldiariony.com,2,broadsheet,US,es,eldiariony.com,MBFC page exists (mediabiasfactcheck.com/el-diario-ny/) — rating not captured in probe,Impremedia; admin to record MBFC values
elespectador.com,2,broadsheet,CO,es,elespectador.com,No MBFC page found via slug probe; oldest Colombian daily,Admin to confirm
elfinanciero.com.mx,2,broadsheet,MX,es,elfinanciero.com.mx,MBFC Right-Center / MOSTLY FACTUAL / High Credibility (mediabiasfactcheck.com/el-financiero/),
elmundo.es,2,broadsheet,ES,es,unidad-editorial,MBFC Right-Center / MOSTLY FACTUAL / High Credibility (mediabiasfactcheck.com/el-mundo/); Lin2023 pc1=0.780,
elnuevoherald.com,2,broadsheet,US,es,mcclatchy,No MBFC page found via slug probe; McClatchy (Miami Herald sister paper),Key Miami Spanish-language daily; admin to confirm
elpais.com,2,broadsheet,ES,es;en,prisa,MBFC Left-Center / Factual HIGH / High Credibility (mediabiasfactcheck.com/el-pais/); Lin2023 pc1=0.791,Largest Spanish-language broadsheet; El País América edition targets LatAm/US
eltiempo.com,2,broadsheet,CO,es,el-tiempo,No MBFC page found via slug probe; Colombia's paper of record (Grupo Luis Carlos Sarmiento),Admin to confirm; tier 2 on reputation only
eluniversal.com.mx,2,broadsheet,MX,es,el-universal-mx,"MBFC: Right-Center bias, 'often publishes factual information that utilizes loaded words' (search snippet; page slug not resolved)",Admin to confirm MBFC factual level
eluniverso.com,2,broadsheet,EC,es,eluniverso.com,MBFC Right-Center / HIGH / High Credibility (mediabiasfactcheck.com/el-universo/),
emol.com,2,broadsheet,CL,es,emol.com,MBFC Right-Center / MOSTLY FACTUAL / High Credibility (mediabiasfactcheck.com/emol/),El Mercurio online
en.wikipedia.org,2,other,INT,en,wikimedia,WikipediaRSP:generally-unreliable,See wikipedia.org
es.wikipedia.org,2,other,INT,es,wikimedia,WikipediaRSP:generally-unreliable,See wikipedia.org
excelsior.com.mx,2,broadsheet,MX,es,excelsior.com.mx,No MBFC page found,Tier 3 (unrated) pending admin review
ft.com,2,broadsheet,GB,en,ft.com,RSP Generally reliable; MBFC High,
infobae.com,2,broadsheet,AR,es;en,infobae,MBFC Left-Center / HIGH / High Credibility (mediabiasfactcheck.com/infobae/); Lin2023 pc1=0.775,Very high traffic across LatAm and US Hispanic audiences
lajornada.com.mx,2,broadsheet,MX,es,lajornada.com.mx,MBFC Left / HIGH / High Credibility (mediabiasfactcheck.com/la-jornada/),Left-leaning; strong factual record per MBFC
lanacion.com.ar,2,broadsheet,AR,es,la-nacion,MBFC Right-Center / HIGH / High Credibility (mediabiasfactcheck.com/la-nacion/),
laopinion.com,2,broadsheet,US,es,impremedia,MBFC Left-Center / MOSTLY FACTUAL / High Credibility (mediabiasfactcheck.com/la-opinion/),Largest US Spanish-language daily (LA); Impremedia
latercera.com,2,broadsheet,CL,es,latercera.com,MBFC Right-Center / HIGH / High Credibility (mediabiasfactcheck.com/la-tercera/),
latimes.com,2,broadsheet,US,en;es,la-times,RSP Generally reliable; MBFC High,LA Times en Español (latimes.com/espanol) relevant to Southern California radio markets
lavanguardia.com,2,broadsheet,ES,es;ca,lavanguardia.com,MBFC Left-Center / HIGH / High Credibility (mediabiasfactcheck.com/la-vanguardia/),
lemonde.fr,2,broadsheet,FR,fr;en,lemonde.fr,Lin2023 pc1=0.666; RSP Generally reliable; MBFC High,Tier 2 on Lin score
miamiherald.com,2,broadsheet,US,en,wikimedia,WikipediaRSP:generally-reliable,
milenio.com,2,broadsheet,MX,es,grupo-multimedios,No MBFC page found; no Lin entry,Tier 3 (unrated) pending admin review
nbcnews.com,2,broadcaster,US,en,wikimedia,WikipediaRSP:generally-reliable,
nytimes.com,2,broadsheet,US,en;es,new-york-times-company,Lin2023 pc1=0.859; RSP Generally reliable; MBFC High,NYT en Español discontinued as standalone in 2019 but nytimes.com/es still exists
proceso.com.mx,2,broadsheet,MX,es,proceso.com.mx,No MBFC page found,Tier 3 (unrated) pending admin review
reforma.com,2,broadsheet,MX,es,grupo-reforma,MBFC Right-Center / HIGH / High Credibility (mediabiasfactcheck.com/reforma/),Paywalled; Grupo Reforma
skynewsarabia.com,2,broadcaster,AE,ar,skynewsarabia.com,No MBFC page found; no Lin entry; Sky/ADMIC (Abu Dhabi) JV,Tier 3 pending review
telemundo.com,2,broadcaster,US,es,comcast,Lin2023 pc1=0.674; NewsGuard 100/100 (per WTTW 2024-03-01); T Verifica is IFCN Verified Signatory (approved 2025-11-04),NBCUniversal; telemundo.com/noticias/t-verifica
theguardian.com,2,broadsheet,GB,en,guardian-media-group,Lin2023 pc1=0.750; RSP Generally reliable; MBFC Mixed (2023 downgrade) / High credibility,Tier 2 because MBFC 'Mixed' since 2023 despite RSP GR
univision.com,2,broadcaster,US,es,televisa-univision,MBFC Left-Center / HIGH / High Credibility (mediabiasfactcheck.com/univision-bias-and-credibility/); Lin2023 pc1=0.717; NewsGuard 100/100 (per WTTW 2024-03-01); El Detector is IFCN Verified Signatory (approved 2025-10-31),TelevisaUnivision; univision.com/eldetector fact-checks
usatoday.com,2,broadsheet,US,en,wikimedia,WikipediaRSP:generally-reliable,
washingtonpost.com,2,broadsheet,US,en,nash-holdings,Lin2023 pc1=0.819; RSP Generally reliable; MBFC High,WaPo policy: a single unnamed source is rarely enough; two sources with same firsthand knowledge
wikipedia.org,2,other,INT,en;es;ar,wikimedia,WikipediaRSP:generally-unreliable,Tier 2 by team decision for background lookups; Wikipedia rates itself unreliable as a source
wsj.com,2,broadsheet,US,en,news-corp,Lin2023 pc1=0.804; RSP Generally reliable (news); MBFC Mostly Factual (news),Opinion section rated separately by RSP
adnamerica.com,3,hyperpartisan,US,es;en,adnamerica.com,No MBFC/Iffy/Lin rating found,Miami; tier 3 (watch) pending admin review
diariolasamericas.com,3,broadsheet,US,es,diariolasamericas.com,No MBFC/Iffy/Lin rating found,Miami legacy daily; tier 3 (unrated) — not a denylist candidate on current evidence
elamerican.com,3,hyperpartisan,US,es;en,elamerican.com,Lin2023 pc1=0.493; no MBFC page found,Miami-based; tier 3 (watch) — Lin score in 'mixed' band
elnacional.com,3,regional,VE,es,el-nacional,,
elnuevodia.com,3,regional,PR,es,gfr-media,,
gaceta.es,3,hyperpartisan,ES,es,gaceta.es,La Gaceta de la Iberosfera — Fundación Disenso (Vox party think tank) since 2020; El Salto far-right media list,Party-affiliated; no MBFC/Iffy rating — tier 3 (watch)
houstonchronicle.com,3,regional,US,en,hearst,,
laderechadiario.com,3,hyperpartisan,AR,es,laderechadiario.com,MBFC Right / MIXED / Medium Credibility (mediabiasfactcheck.com/la-derecha-diario-bias-and-credibility/),Milei-aligned; tier 3
lapatilla.com,3,hyperpartisan,VE,es,lapatilla.com,RSP No consensus (La Patilla),Venezuelan opposition site; tier 3
panampost.com,3,hyperpartisan,US,es;en,panampost.com,MBFC Right / MIXED / Medium Credibility (mediabiasfactcheck.com/panam-post/); Lin2023 pc1=0.548,Tier 3 (mixed) — do not count as corroboration
periodistadigital.com,3,hyperpartisan,ES,es,maldita,Maldita.es has a tag page of debunks (maldita.es/tag/periodista-digital); El Salto/EPI lists,No third-party credibility rating — tier 3 (watch) not deny
sun-sentinel.com,3,regional,US,en,tribune-publishing,,
100percentfedup.com,4,hyperpartisan,US,en,100percentfedup.com,"Iffy Index row 1: MBFC Fact=L, Bias=FN(Questionable), cred=L, Wiki Fake=1, score 0.1",
12minutos.com,4,conspiracy,ES,es,12minutos.com,"Iffy Index: MBFC Fact=L, Bias=FN (Questionable), cred=L, Wiki Fake=1, lang=es, score 0.1 (mediabiasfactcheck.com/12minutos-com/)",One of only 2 Spanish-language rows in Iffy Index
actualidadpanamericana.com,4,satire,CO,es,actualidadpanamericana.com,OpenSources 'satire' (2017),Spanish-language satire — must never be cited as evidence
alarabiya.net,4,state_controlled,AE/SA,ar;en,mbc-group,"MBFC Right-Center / MIXED / Low Credibility, propaganda (mediabiasfactcheck.com/al-arabiya/); RSP No consensus; Lin2023 pc1=0.683",Saudi-owned; tier 4 (unreliable) not 5 — RSP no consensus; use for Saudi-adverse topics with caution
alertadigital.com,4,hyperpartisan,ES,es,alertadigital.com,EPI 2022 study: listed among websites journalists perceive as disinformation sources; El Salto far-right media list,No MBFC/Iffy rating; tier 4 pending admin review
bitchute.com,4,other,GB,multi,bitchute.com,Lin2023 pc1=0.124; RSP Generally unreliable (user-generated),Video platform — not a source; treat cited videos as unverified
breitbart.com,4,hyperpartisan,US,en,rossiya-segodnya,"MBFC Right / MIXED / Low Credibility, propaganda (mediabiasfactcheck.com/breitbart/); RSP Blacklisted+Deprecated (WP:BREITBART); Lin2023 pc1=0.297; Ad Fontes 30.42 'Mixed Reliability/Opinion OR Other Issues'; Iffy Index",Immigration misinformation
casoaislado.com,4,hyperpartisan,ES,es,casoaislado.com,"Academic/press: 'classified multiple times as generating false news with far-right tendencies, particularly hoaxes about immigration' (El Salto); EPI 2022 list of pseudo-media",No MBFC/Iffy rating — immigration hoaxes; tier 4 on fact-checker record
chihuahuapost.com,4,hyperpartisan,MX,es,chihuahuapost.com,"Iffy Index: MBFC Fact=M, Bias=FN (Questionable), cred=L, lang=es",Second Spanish-language row in Iffy Index
chinadaily.com.cn,4,state_controlled,CN,en;es,china-state,RSP No consensus (WP:CHINADAILY); FARA-registered (China Daily Distribution Corp),Has Spanish edition (cn.chinadaily.com.cn/espanol?); tier 4 per RSP no-consensus
consortiumnews.com,4,hyperpartisan,US,en,consortiumnews.com,RSP Generally unreliable (WP:CONSORTIUMNEWS); Lin2023 pc1=0.535,
dailycaller.com,4,hyperpartisan,US,en,dailycaller.com,RSP Deprecated (WP:DAILYCALLER); Lin2023 pc1=0.470; Ad Fontes 34.42; MBFC Right / Mixed (page mediabiasfactcheck.com/daily-caller/),
dailymail.co.uk,4,other,GB,en,dailymail.co.uk,RSP Deprecated (WP:DAILYMAIL); Lin2023 pc1=0.384; Iffy/Grinberg 'yellow',Widely syndicated; low tier
elmundotoday.com,4,satire,ES,es,elmundotoday.com,OpenSources 'satire' (2017),Spanish-language satire
es.theepochtimes.com,4,hyperpartisan,US,es,epoch-media-group,La Gran Época — Spanish edition of The Epoch Times (RSP Deprecated),Also lagranepoca.com; anti-vaccine/anti-China narratives in Spanish
lagranepoca.com,4,hyperpartisan,US,es,epoch-media-group,La Gran Época legacy domain (Epoch Times; RSP Deprecated),
martinoticias.com,4,state_controlled,US,es,wikimedia,RSP Deprecated (WP:MARTI — Office of Cuba Broadcasting / Radio y Televisión Martí),US-government Spanish outlet deprecated by Wikipedia for reliability; tier 4
mediterraneodigital.com,4,hyperpartisan,ES,es,maldita,Maldita.es registered and debunked ~70 pieces of its content (La Marea 2023-04-26: 'el antiguo rey de los bulos'); EPI study lists it as top perceived disinformation source,No MBFC/Iffy rating found — evidence is fact-checker debunk volume
mintpressnews.com,4,hyperpartisan,US,en,mintpress,RSP Deprecated (WP:MINTPRESS); Lin2023 pc1=0.495,
newsmax.com,4,hyperpartisan,US,en,newsmax-media,"MBFC Right / LOW / Low Credibility, propaganda (mediabiasfactcheck.com/newsmax/); RSP Deprecated (WP:NEWSMAX); NewsGuard 20/100 (Press Gazette); Lin2023 pc1=0.287; Ad Fontes 28.35",Election misinformation; settled Dominion/Smartmatic suits
ntd.com,4,hyperpartisan,US,en;es,epoch-media-group,"RSP Deprecated (New Tang Dynasty Television, with Epoch Times)",NTD en Español exists
oann.com,4,hyperpartisan,US,en,herring-networks,"MBFC Far Right / LOW / Low Credibility, propaganda (mediabiasfactcheck.com/one-america-news-network/); RSP Deprecated (WP:OANN); NewsGuard 25/100 (Press Gazette); Lin2023 pc1=0.415",One America News
occupydemocrats.com,4,hyperpartisan,US,en,occupydemocrats.com,RSP Deprecated (WP:OCCUPYDEMOCRATS),Left-wing hyperpartisan; included for balance
okdiario.com,4,hyperpartisan,ES,es,okdiario.com,MBFC Right / MIXED / Low Credibility (mediabiasfactcheck.com/okdiario/); named among problematic Spanish outlets in El Salto / EPI academic studies,High-traffic Spanish digital
rumble.com,4,other,US,multi,rumble.com,Lin2023 pc1=0.163; user-generated,Video platform — not a source
shafaq.com,4,hyperpartisan,IQ,ar,shafaq.com,"Iffy Index: MBFC Fact=M, Bias=FN, cred=L, lang=ar",Arabic-language Iffy row
theepochtimes.com,4,hyperpartisan,US,en;es,epoch-media-group,"RSP Deprecated (WP:EPOCHTIMES, incl. NTD/Vision Times); NewsGuard 17.5/100 (Press Gazette); Lin2023 pc1=0.415 (0.263 for theepochtimes.com); Ad Fontes 35.37; MBFC Right-Center / MOSTLY FACTUAL / Medium (re-rated; MBFC notes conspiracy history)",Falun Gong-affiliated; tier 4 despite MBFC upgrade because RSP deprecation + NewsGuard
thefederalist.com,4,hyperpartisan,US,en,efe,RSP Generally unreliable (WP:THEFEDERALIST),
thegrayzone.com,4,hyperpartisan,US,en,telesur,RSP Deprecated (WP:GRAYZONE); Lin2023 pc1=0.316,Pro-Kremlin/pro-Assad; frequently syndicated by teleSUR/RT
thepostmillennial.com,4,hyperpartisan,CA,en,thepostmillennial.com,RSP Generally unreliable (WP:POSTMIL),
tierrapura.org,4,conspiracy,AR,es,chequeado,Chequeado 'Desinformantes' investigation: spread COVID-19 conspiracy theories via paid Facebook ads to millions,Spanish-language conspiracy site
wnd.com,4,conspiracy,US,en,wnd.com,RSP Deprecated (WP:WND); Lin2023 pc1=0.192,WorldNetDaily
youm7.com,4,hyperpartisan,EG,ar,youm7.com,"Iffy Index: MBFC Fact=M, Bias=FN, cred=L, lang=ar (Al Youm Al Sabea)",Pro-government Egyptian tabloid
zerohedge.com,4,conspiracy,US,en,rossiya-segodnya,RSP Deprecated (WP:ZEROHEDGE); Lin2023 pc1=0.272; Ad Fontes 20.87,Frequently launders RT/Sputnik narratives
1tv.ru,5,state_controlled,RU,ru,1tv.ru,"Iffy Index (MBFC Questionable/propaganda, Low credibility); EU broadcasting ban (Pervyi Kanal / Channel One, 2022 packages)",Channel One Russia
actualidad-rt.com,5,state_controlled,RU,es,rossiya-segodnya,RT en Español mirror domain advertised by RT to evade blocks,Mirror
actualidad.rt.com,5,state_controlled,RU,es,rossiya-segodnya,RT en Español — named in EU Reg 2022/350 ('RT - Russia Today Spanish'); ISD 2025 audit names actualidad.rt.com; RSP Deprecated (RT),Primary Spanish-language RT domain; most-engaged Kremlin outlet on Facebook/Instagram in LatAm per Hamilton 2.0
alalam.ir,5,state_controlled,IR,ar,irib,Al-Alam — IRIB Arabic channel (same parent as Press TV),Iranian Arabic-language outlet
almanar.com.lb,5,state_controlled,LB,ar;en;es,al-manar,"RSP Generally unreliable (controversial topics) / No consensus (general); MBFC Right-Center / MIXED / Low Credibility, propaganda (mediabiasfactcheck.com/al-manar/); Lin2023 pc1=0.483; US-designated (Hezbollah) since 2004",Hezbollah TV; has Spanish section
almayadeen.net,5,state_controlled,LB,ar;en;es,al-mayadeen,"RSP Deprecated (WP:ALMAYADEEN); MBFC Left / MIXED / Low Credibility, propaganda (mediabiasfactcheck.com/al-mayadeen/)",Hezbollah/Iran-aligned; espanol.almayadeen.net Spanish edition targets LatAm
